1		 Car_ID		 Year		 Make		 Model		 1
2		 48		 2015		 Acura		 TLX		 2
3		 124		 2015		 Jeep		 Wrangler		 3
4		 222		 2015		 Lexus		 Is250		 4
5		 207		 1993		 Honda		 Civic eG		 5
6		 167		 2016		 Ford		 Mystang		 6
7		 159		 2013		 Hyundai		 Gen coupe		 7
8		 20		 2009		 Infinity		 G37		 8
9		 178		 2009		 Honda		 Oddesy		 9
10		 30		 2012		 Hyundai		 Celoster		 10
11		 134		 2012		 Subaru		 WRX		 11
12		 51		 2015		 Subaru		 WRX		 12
13		 183		 2005		 Volkswagen		 Jetta		 13
14		 177		 2005		 Volkswagen		 Jetta gli		 14
15		 5		 2003		 Acura		 Rsx		 15
16		 218		 2010		 Chevy		 Camaro		 16
17		 39		 2011		 Honda		 Civic		 17
18		 68		 2013		 Nissan		 Altima		 18
19		 10		 2001		 Nissan		 S15		 19
20		 67		 2015		 Subaru		 Sti		 20
21		 43		 2011		 Toyota		 4 Runner		 21
22		 170		 2014		 Chevy		 Cruze		 22
23		 216		 2007		 Chrystler		 300		 23
24		 99		 2014		 Civic		 Si		 24
25		 89		 2014		 Honda		 Civic si		 25
26		 95		 2004		 Infiniti		 G35		 26
27		 228		 2010		 Nissan		 370		 27
28		 7		 2014		 Nissan		 Sentra		 28
29		 14		 1990		 Nissan		 Skyline		 29
30		 8		 1991		 Nissan		 Skyline		 30
31		 145		 1990		 Volkswagen		 Gti		 31
32		 102		 2015		 Honda		 Accord		 32
33		 36		 2016		 Subaru		 WRX		 33
34		 189		 2012		 Toyota		 Fj cruiser		 34
35		 111		 2007		 Bmw		 328i		 35
36		 140		 1995		 Mitsu		 Evo8		 36
37		 161		 2012		 Nissan		 370z		 37
38		 37		 2015		 Subaru		 Sti		 38
39		 243		 2008		 Toyota		 Matrix		 39
40		 184		 2010		 Volkswagen		 Cc		 40
41		 66		 2010		 Volkswagen		 Gti		 41
42		 101		 2014		 Honda		 Civic		 42
43		 21		 2009		 Subaru		 WRX		 43
44		 200		 2016		 Subaru		 WRX		 44
45		 2		 2016		 Bmw		 M2		 45
46		 23		 1998		 Subaru		 Legacy		 46
47		 59		 2012		 Volkswagen		 Golf		 47
48		 42		 2001		 Dodge		 Viper		 48
49		 83		 2014		 Honda		 Accord		 49
50		 16		 2008		 Nissan		 350z		 50
51		 181		 2003		 Volkswagen		 Gti		 51
52		 0		 2015		 Chevy		 Camaro		 52
53		 88		 2008		 Honda		 Accord		 53
54		 25		 2012		 Mercedes		 C250		 54
55		 176		 2014		 Mitsu		 Lancer		 55
56		 134		 2013		 Subaru		 WRX		 56
57		 127		 2013		 Acura		 Tsx		 57
58		 104		 2014		 Civic coupe		 Si		 58
59		 120		 2014		 Ford		 Focus st		 59
60		 85		 2017		 Honda		 Accord		 60
61		 Showcar		 2014		 Nissan		 Gtr		 61
62		 108		 2013		 Audi		 S4		 62
63		 98		 2012		 Benz		 C63		 63
64		 130		 2016		 Honda		 Civic si		 64
65		 12		 1990		 Nissan		 240		 65
66		 232		 2018		 Subaru		 WRX		 66
67		 Vip		 2008		 Volkswagen		 Gli		 67
68		 96		 2017		 Volkswagen		 Gti		 68
69		 15		 2014		 Audi		 S4		 69
70		 65		 2009		 Honda		 Fit		 70
71		 92		 2017		 Hyundai		 Elantra sport		 71
72		 179		 2004		 Volkswagen		 R32		 72
73		 63		 2010		 Honda		 Civic		 73
74		 35		 2016		 Honda		 Civic		 74
75		 79		 1993		 Mazda		 Miata		 75
76		 4341		 1992		 Nissan		 Rps13		 76
77		 156		 2014		 Volkswagen		 Gli		 77
78		 220		 2004		 Audi		 A4		 78
79		 44		 2018		 Honda		 Civic si		 79
80		 19		 2001		 Mitsub		 Evo7		 80
81		 123		 2006		 Lexus		 Sc430		 81
82		 57		 2015		 Scion		 Frs		 82
83		 230		 2004		 Acura		 Tsx		 83
84		 33		 2015		 Subaru		 Sti		 84
85		 75		 2012		 Subaru		 WRX		 85
86		 175		 2006		 Honda		 Civic		 86
87		 115		 2001		 Honda		 Crv		 87
88		 153		 2017		 Subaru		 Brz		 88
89		 76		 2005		 Subaru		 Sti		 89
90		 56		 2009		 Volkswagen		 Jetta		 90
91		 114		 2015		 Acura		 TLX		 91
92		 163		 2013		 Mitsu		 Ralliart		 92
93		 53		 2013		 Subaru		 WRX		 93
94		 241		 2007		 Toyota		 Camry		 94
95		 114		 2010		 Volkswagen		 Gti		 95
96		 41		 2012		 Acura		 Tsx		 96
97		 116		 2008		 Audi		 A4		 97
98		 137		 2017		 Ford		 Focus rs		 98
99		 212		 2001		 Lexus		 Is300		 99
100		 52		 2007		 Mazda		 Speed 3		 100
101		 93		 2005		 Acura		 TL		 101
102		 226		 2008		 Honda		 Accord		 102
103		 22		 2007		 Honda		 Civic		 103
104		 70		 2014		 Honda		 Civic		 104
105		 128		 2010		 Infiniti		 G37		 105
106		 187		 2007		 Subaru		 Legacy		 106
107		 238		 1982		 Volkswagen		 Rabbit		 107
108		 31		 2007		 Honda		 Fit		 108
109		 71		 2008		 Acura		 TL		 109
110		 18		 2015		 Audi		 S3		 110
